Team,Player Type,Player URL,Draft Class,First Name,Last Name,Position,Shoots,Recruited by,Player Render,Jersey Number,Height,Weight,Birthplace,Strengths,Weakness,Points Available,Screening,Getting Open,Passing,Puckhandling,Shooting Accuracy,Shooting Range,Offensive Read,Checking,Hitting,Stickchecking,Shot Blocking,Faceoffs,Defensive Read,Acceleration,Agility,Balance,Speed,Stamina,Strength,Fighting,Aggression,Bravery,Determination,Team Player,Leadership,Temperament,Professionalism,Blocker,Glove,Poke Check,Positioning,Rebound,Recovery,Low Shots,Reflexes,Skating,Mental Toughness,Goalie Stamina,Listed TPE,Applied TPE,Total TPE,Played Position
Anaheim Outlaws,Prospect,https://www.simulationhockey.com/showthread.php?tid=105052,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,215,0,0,D
Anaheim Outlaws,Prospect,https://www.simulationhockey.com/showthread.php?tid=104866,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,245,0,0,D
Anaheim Outlaws,Prospect,https://www.simulationhockey.com/showthread.php?tid=104392,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,173,0,0,LW
Anaheim Outlaws,Prospect,https://www.simulationhockey.com/showthread.php?tid=104349,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,297,0,0,D
Anaheim Outlaws,Prospect,https://www.simulationhockey.com/showthread.php?tid=104346,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,205,0,0,LW
Anaheim Outlaws,Prospect,https://www.simulationhockey.com/showthread.php?tid=104052,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,174,0,0,D
Anaheim Outlaws,,https://www.simulationhockey.com/showthread.php?tid=103094,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,444,0,0,C
Anaheim Outlaws,,https://www.simulationhockey.com/showthread.php?tid=102662,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,397,0,0,C
Anaheim Outlaws,,https://www.simulationhockey.com/showthread.php?tid=102637,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,8,,15,15,15,,15,,,,,,,,,,,,363,0,0,G
Anaheim Outlaws,,https://www.simulationhockey.com/showthread.php?tid=102626,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,183,0,0,D
